FID,codigo,empreendimento,subeixo,tipo,orgao_responsavel,executor,unidade_federativa,municipio,investimento_previsto,observacao,estagio,data_de_referencia,geometria,count
ubs.fid-4d3f006b_168d7d75ee6_-55e9,9774,São Gonçalo/Rj - RJ - UBS - São Gonçalo - RJ - UBS I,Comunidade Cidadã,UBS,Ministério da Saúde,Município,RJ,SÃO GONÇALO/RJ,--,,Em obras,30 de Junho de 2018,MULTIPOINT ((-43.054 -22.827)),0
ubs.fid-4d3f006b_168d7d75ee6_-55e8,9775,São Gonçalo/Rj - RJ - UBS - São Gonçalo - RJ - UBS I,Comunidade Cidadã,UBS,Ministério da Saúde,Município,RJ,SÃO GONÇALO/RJ,--,,Em obras,30 de Junho de 2018,MULTIPOINT ((-43.054 -22.827)),0
ubs.fid-4d3f006b_168d7d75ee6_-55e7,9776,São Gonçalo/Rj - RJ - UBS - São Gonçalo - RJ - UBS I,Comunidade Cidadã,UBS,Ministério da Saúde,Município,RJ,SÃO GONÇALO/RJ,--,,Concluído,30 de Junho de 2018,MULTIPOINT ((-43.054 -22.827)),0
ubs.fid-4d3f006b_168d7d75ee6_-55e6,9777,São Gonçalo/Rj - RJ - UBS - São Gonçalo - RJ - UBS I,Comunidade Cidadã,UBS,Ministério da Saúde,Município,RJ,SÃO GONÇALO/RJ,--,,Concluído,30 de Junho de 2018,MULTIPOINT ((-43.054 -22.827)),0
ubs.fid-4d3f006b_168d7d75ee6_-55e5,9589,Itapiranga/Am - AM - UBS - Itapiranga - AM - UBS I,Comunidade Cidadã,UBS,Ministério da Saúde,Município,AM,ITAPIRANGA/AM,--,,Em obras,30 de Junho de 2018,MULTIPOINT ((-58.022 -2.749)),0
ubs.fid-4d3f006b_168d7d75ee6_-55e4,9591,Nhamundá/Am - AM - UBS - Nhamundá - AM - UBS I,Comunidade Cidadã,UBS,Ministério da Saúde,Município,AM,NHAMUNDÁ/AM,--,,Em obras,30 de Junho de 2018,MULTIPOINT ((-56.713 -2.186)),0
ubs.fid-4d3f006b_168d7d75ee6_-55e3,94466,São José do Barreiro/Sp - SP - UBS - São José do Barreiro - SP - Ampliação de UBS,Comunidade Cidadã,UBS,Ministério da Saúde,Município,SP,SÃO JOSÉ DO BARREIRO/SP,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2018,MULTIPOINT ((-44.578 -22.645)),0
ubs.fid-4d3f006b_168d7d75ee6_-55e2,94466,São José do Barreiro/Sp - SP - UBS - São José do Barreiro - SP - Ampliação de UBS,Comunidade Cidadã,UBS,Ministério da Saúde,Município,SP,SÃO JOSÉ DO BARREIRO/SP,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2018,MULTIPOINT ((-44.578 -22.645)),0
ubs.fid-4d3f006b_168d7d75ee6_-55e1,94467,São Vicente do Seridó/Pb - PB - UBS - São Vicente do Seridó - PB - UBS I,Comunidade Cidadã,UBS,Ministério da Saúde,Município,PB,SÃO VICENTE DO SERIDÓ/PB,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2018,MULTIPOINT ((-36.402 -6.934)),0
ubs.fid-4d3f006b_168d7d75ee6_-55e0,94468,São João da Mata/Mg - MG - UBS - São João da Mata - MG - Ampliação de UBS,Comunidade Cidadã,UBS,Ministério da Saúde,Município,MG,SÃO JOÃO DA MATA/MG,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2018,MULTIPOINT ((-45.929 -21.93)),0
ubs.fid-4d3f006b_168d7d75ee6_-55df,94468,São João da Mata/Mg - MG - UBS - São João da Mata - MG - Ampliação de UBS,Comunidade Cidadã,UBS,Ministério da Saúde,Município,MG,SÃO JOÃO DA MATA/MG,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2018,MULTIPOINT ((-45.929 -21.93)),0
ubs.fid-4d3f006b_168d7d75ee6_-55de,94469,Aracoiaba/Ce - CE - UBS - Aracoiaba - CE - UBS I,Comunidade Cidadã,UBS,Ministério da Saúde,Município,CE,ARACOIABA/CE,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2018,MULTIPOINT ((-38.814 -4.371)),0
ubs.fid-4d3f006b_168d7d75ee6_-55dd,94469,Aracoiaba/Ce - CE - UBS - Aracoiaba - CE - UBS I,Comunidade Cidadã,UBS,Ministério da Saúde,Município,CE,ARACOIABA/CE,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2018,MULTIPOINT ((-38.814 -4.371)),0
ubs.fid-4d3f006b_168d7d75ee6_-55dc,94470,Guaratinga/Ba - BA - UBS - Guaratinga - BA - Ampliação de UBS,Comunidade Cidadã,UBS,Ministério da Saúde,Município,BA,GUARATINGA/BA,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2018,MULTIPOINT ((-39.783 -16.584)),0
ubs.fid-4d3f006b_168d7d75ee6_-55db,94470,Guaratinga/Ba - BA - UBS - Guaratinga - BA - Ampliação de UBS,Comunidade Cidadã,UBS,Ministério da Saúde,Município,BA,GUARATINGA/BA,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2018,MULTIPOINT ((-39.783 -16.584)),0
ubs.fid-4d3f006b_168d7d75ee6_-55da,94471,Orobó/Pe - PE - UBS - Orobó - PE - UBS I,Comunidade Cidadã,UBS,Ministério da Saúde,Município,PE,OROBÓ/PE,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2018,MULTIPOINT ((-35.602 -7.745)),0
ubs.fid-4d3f006b_168d7d75ee6_-55d9,94471,Orobó/Pe - PE - UBS - Orobó - PE - UBS I,Comunidade Cidadã,UBS,Ministério da Saúde,Município,PE,OROBÓ/PE,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2018,MULTIPOINT ((-35.602 -7.745)),0
ubs.fid-4d3f006b_168d7d75ee6_-55d8,94472,Morada Nova/Ce - CE - UBS - Morada Nova - CE - UBS I,Comunidade Cidadã,UBS,Ministério da Saúde,Município,CE,MORADA NOVA/CE,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2018,MULTIPOINT ((-38.373 -5.107)),0
ubs.fid-4d3f006b_168d7d75ee6_-55d7,94472,Morada Nova/Ce - CE - UBS - Morada Nova - CE - UBS I,Comunidade Cidadã,UBS,Ministério da Saúde,Município,CE,MORADA NOVA/CE,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2018,MULTIPOINT ((-38.373 -5.107)),0
ubs.fid-4d3f006b_168d7d75ee6_-55d6,94473,Jijoca de Jericoacoara/Ce - CE - UBS - Jijoca de Jericoacoara - CE - UBS I,Comunidade Cidadã,UBS,Ministério da Saúde,Município,CE,JIJOCA DE JERICOACOARA/CE,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2018,MULTIPOINT ((-40.513 -2.794)),0
ubs.fid-4d3f006b_168d7d75ee6_-55d5,94473,Jijoca de Jericoacoara/Ce - CE - UBS - Jijoca de Jericoacoara - CE - UBS I,Comunidade Cidadã,UBS,Ministério da Saúde,Município,CE,JIJOCA DE JERICOACOARA/CE,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2018,MULTIPOINT ((-40.513 -2.794)),0
ubs.fid-4d3f006b_168d7d75ee6_-55d4,94474,Avelino Lopes/Pi - PI - UBS - Avelino Lopes - PI - UBS I,Comunidade Cidadã,UBS,Ministério da Saúde,Município,PI,AVELINO LOPES/PI,--,Valor não divulgado em razão da possibilidade de uso do Regime Diferenciado de Contratação - RDC.,Ação preparatória,30 de Junho de 2018,MULTIPOINT ((-43.949 -10.137)),0
